"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NATI","National Instruments Corporation","41.945","$5.5B","1995","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/nati",
"NRC","National Research Corporation","66.62","$1.66B","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/nrc",
"NSEC","National Security Group, Inc.","15.1","$38.23M","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/nsec",
"EYE","National Vision Holdings, Inc.","32.52","$2.57B","2017","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/eye",
"NWLI","National Western Life Group, Inc.","284.3","$1.03B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/nwli",
"NAII","Natural Alternatives International, Inc.","8.4","$60.21M","n/a","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/naii",
"NHTC","Natural Health Trends Corp.","5.61","$64.63M","n/a","Consumer Durables","Consumer Specialties","https://old.nasdaq.com/symbol/nhtc",
"NATR","Nature&#39;s Sunshine Products, Inc.","9.5","$183.65M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/natr",
"NTUS","Natus Medical Incorporated","32.7","$1.11B","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/ntus",
"JSM","Navient Corporation","24.74","n/a","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jsm",
"NAVI","Navient Corporation","13.6","$3.01B","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/navi",
"NMCI","Navios Maritime Containers L.P.","1.85","$64.02M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/nmci",
"NBTB","NBT Bancorp Inc.","39.92","$1.75B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/nbtb",
"NCSM","NCS Multistage Holdings, Inc.","1.9","$88.94M","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ncsm",
"NEBU","Nebula Acquisition Corporation","10.5","$360.94M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/nebu",
"NEBUU","Nebula Acquisition Corporation","11.1053","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/nebuu",
"NEBUW","Nebula Acquisition Corporation","1.7","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/nebuw",
"NKTR","Nektar Therapeutics","21.26","$3.74B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nktr",
"NMRD","Nemaura Medical Inc.","3.6423","$75.79M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/nmrd",
"NEOG","Neogen Corporation","64.57","$3.4B","1989","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/neog",
"NEO","NeoGenomics, Inc.","29.24","$3.05B","n/a","Health Care","Precision Instruments","https://old.nasdaq.com/symbol/neo",
"NLTX","Neoleukin Therapeutics, Inc.","10.98","$533.88M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nltx",
"NTGN","Neon Therapeutics, Inc.","1.16","$32.87M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/ntgn",
"NEON","Neonode Inc.","2.065","$18.2M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/neon",
"NEOS","Neos Therapeutics, Inc.","1.38","$68.63M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/neos",
